Bitstamp-Bid,Bitstamp-Ask,Binance-bid,Binance-ask,bit->bin,bin->bit,P/L1,P/L2,Good1,Good2
0.00007531,0.00007559,0.00007531,0.00007544,-0.371796574,-0.172322375,-37.17965742,-17.23223754,FALSE,FALSE
0.00007531,0.00007559,0.00007532,0.00007544,-0.358470526,-0.172322375,-35.84705258,-17.23223754,FALSE,FALSE
0.00007531,0.00007556,0.00007531,0.00007544,-0.331961227,-0.172322375,-33.19612269,-17.23223754,FALSE,FALSE
0.00007531,0.00007556,0.00007529,0.00007544,-0.358613362,-0.172322375,-35.86133617,-17.23223754,FALSE,FALSE
0.00007531,0.00007556,0.00007532,0.00007544,-0.318640467,-0.172322375,-31.86404673,-17.23223754,FALSE,FALSE
0.00007531,0.00007555,0.00007532,0.00007544,-0.305363781,-0.172322375,-30.53637812,-17.23223754,FALSE,FALSE
0.00007531,0.00007555,0.00007529,0.00007544,-0.345331385,-0.172322375,-34.53313853,-17.23223754,FALSE,FALSE
0.00007531,0.00007555,0.00007531,0.00007544,-0.318682778,-0.172322375,-31.86827779,-17.23223754,FALSE,FALSE
0.00007531,0.00007559,0.00007531,0.00007544,-0.371796574,-0.172322375,-37.17965742,-17.23223754,FALSE,FALSE
0.00007531,0.00007559,0.00007531,0.00007544,-0.371796574,-0.172322375,-37.17965742,-17.23223754,FALSE,FALSE
0.00007531,0.00007559,0.00007531,0.00007544,-0.371796574,-0.172322375,-37.17965742,-17.23223754,FALSE,FALSE
0.00007531,0.00007559,0.00007531,0.00007544,-0.371796574,-0.172322375,-37.17965742,-17.23223754,FALSE,FALSE
0.00007526,0.00007555,0.00007531,0.00007544,-0.318682778,-0.238600212,-31.86827779,-23.86002121,FALSE,FALSE
0.00007526,0.00007555,0.00007531,0.00007544,-0.318682778,-0.238600212,-31.86827779,-23.86002121,FALSE,FALSE
0.00007527,0.00007555,0.00007531,0.00007544,-0.318682778,-0.225344645,-31.86827779,-22.53446448,FALSE,FALSE
0.00007527,0.00007555,0.00007531,0.00007544,-0.318682778,-0.225344645,-31.86827779,-22.53446448,FALSE,FALSE
0.00007527,0.00007555,0.00007531,0.00007544,-0.318682778,-0.225344645,-31.86827779,-22.53446448,FALSE,FALSE
0.00007526,0.00007565,0.00007531,0.00007544,-0.451467269,-0.238600212,-45.14672686,-23.86002121,FALSE,FALSE
0.00007526,0.00007565,0.00007531,0.00007544,-0.451467269,-0.238600212,-45.14672686,-23.86002121,FALSE,FALSE
0.00007526,0.00007565,0.00007531,0.00007544,-0.451467269,-0.238600212,-45.14672686,-23.86002121,FALSE,FALSE
0.00007526,0.00007554,0.00007531,0.00007544,-0.305404329,-0.238600212,-30.54043288,-23.86002121,FALSE,FALSE
0.00007526,0.00007554,0.00007532,0.00007544,-0.292087095,-0.238600212,-29.20870951,-23.86002121,FALSE,FALSE
0.00007526,0.00007554,0.00007532,0.00007544,-0.292087095,-0.238600212,-29.20870951,-23.86002121,FALSE,FALSE
0.00007526,0.00007554,0.00007532,0.00007544,-0.292087095,-0.238600212,-29.20870951,-23.86002121,FALSE,FALSE
0.00007528,0.00007554,0.00007532,0.00007544,-0.292087095,-0.212089077,-29.20870951,-21.20890774,FALSE,FALSE
0.00007528,0.00007554,0.00007533,0.00007544,-0.278773397,-0.212089077,-27.87733971,-21.20890774,FALSE,FALSE
0.00007528,0.00007554,0.00007533,0.00007542,-0.278773397,-0.185627155,-27.87733971,-18.56271546,FALSE,FALSE
0.00007527,0.00007554,0.00007533,0.0000754,-0.278773397,-0.172413793,-27.87733971,-17.24137931,FALSE,FALSE
0.00007527,0.00007554,0.00007533,0.0000754,-0.278773397,-0.172413793,-27.87733971,-17.24137931,FALSE,FALSE
0.00007526,0.00007554,0.00007535,0.0000754,-0.252156603,-0.185676393,-25.21566025,-18.56763926,FALSE,FALSE
0.00007526,0.00007554,0.00007535,0.0000754,-0.252156603,-0.185676393,-25.21566025,-18.56763926,FALSE,FALSE
0.00007528,0.0000756,0.00007535,0.0000754,-0.331785003,-0.159151194,-33.17850033,-15.91511936,FALSE,FALSE
0.00007528,0.0000756,0.00007535,0.0000754,-0.331785003,-0.159151194,-33.17850033,-15.91511936,FALSE,FALSE
0.00007528,0.0000756,0.00007535,0.0000754,-0.331785003,-0.159151194,-33.17850033,-15.91511936,FALSE,FALSE
0.00007526,0.0000756,0.00007535,0.00007544,-0.331785003,-0.238600212,-33.17850033,-23.86002121,FALSE,FALSE
0.00007526,0.0000756,0.00007536,0.00007545,-0.318471338,-0.251822399,-31.84713376,-25.18223989,FALSE,FALSE
0.00007526,0.00007565,0.00007536,0.00007545,-0.384819533,-0.251822399,-38.48195329,-25.18223989,FALSE,FALSE
0.00007526,0.00007565,0.00007536,0.00007545,-0.384819533,-0.251822399,-38.48195329,-25.18223989,FALSE,FALSE
0.00007527,0.00007564,0.00007537,0.00007545,-0.358232719,-0.238568588,-35.82327186,-23.85685885,FALSE,FALSE
0.00007527,0.00007558,0.00007537,0.00007545,-0.278625448,-0.238568588,-27.86254478,-23.85685885,FALSE,FALSE
0.00007527,0.00007558,0.00007537,0.00007545,-0.278625448,-0.238568588,-27.86254478,-23.85685885,FALSE,FALSE
0.00007528,0.0000756,0.00007537,0.00007544,-0.305161205,-0.212089077,-30.51612047,-21.20890774,FALSE,FALSE
0.00007528,0.0000756,0.00007537,0.00007544,-0.305161205,-0.212089077,-30.51612047,-21.20890774,FALSE,FALSE
0.00007529,0.00007558,0.00007533,0.00007542,-0.331873092,-0.172368072,-33.18730917,-17.23680721,FALSE,FALSE
0.00007529,0.00007558,0.00007533,0.00007542,-0.331873092,-0.172368072,-33.18730917,-17.23680721,FALSE,FALSE
0.00007529,0.00007556,0.00007533,0.00007542,-0.305323244,-0.172368072,-30.53232444,-17.23680721,FALSE,FALSE
0.00007529,0.00007556,0.00007533,0.00007544,-0.305323244,-0.19883351,-30.53232444,-19.88335101,FALSE,FALSE
0.00007529,0.00007559,0.00007529,0.00007544,-0.398459291,-0.19883351,-39.84592907,-19.88335101,FALSE,FALSE
